Codigo_Tecnico;Codigo_REBIUN_Referencia;Indicador_Referencia;Eje_Referencia;Nombre_Eje_Referencia;Apartado_Referencia;Nombre_Apartado_Referencia;Primer_Anio;Ultimo_Anio;Cambio_Codigo_REBIUN;Cambio_Denominacion;Codigos_REBIUN_Historicos;Denominaciones_Historicas
NUSUARIOPROP;1.1;Personas usuarias propias;1;Personas usuarias;1.1;Personas usuarias propias;2020;2025;No;Sí;2020:1.1 | 2021:1.1 | 2022:1.1 | 2023:1.1 | 2024:1.1 | 2025:1.1;2020:Usuarios propios | 2021:Usuarios propios | 2022:Usuarios propios | 2023:Personas usuarias propias | 2024:Personas usuarias propias | 2025:Personas usuarias propias
NESTUDIANTES;1.2;Estudiantes;1;Personas usuarias;1.2;Estudiantes;2020;2025;No;No;2020:1.2 | 2021:1.2 | 2022:1.2 | 2023:1.2 | 2024:1.2 | 2025:1.2;2020:Estudiantes | 2021:Estudiantes | 2022:Estudiantes | 2023:Estudiantes | 2024:Estudiantes | 2025:Estudiantes
NESTGRADO;1.2.1;Estudiantes de grado;1;Personas usuarias;1.2;Estudiantes;2020;2025;No;No;2020:1.2.1 | 2021:1.2.1 | 2022:1.2.1 | 2023:1.2.1 | 2024:1.2.1 | 2025:1.2.1;2020:Estudiantes de grado | 2021:Estudiantes de grado | 2022:Estudiantes de grado | 2023:Estudiantes de grado | 2024:Estudiantes de grado | 2025:Estudiantes de grado
NESTPOSGRADO;1.2.2;Estudiantes de posgrado;1;Personas usuarias;1.2;Estudiantes;2020;2025;No;No;2020:1.2.2 | 2021:1.2.2 | 2022:1.2.2 | 2023:1.2.2 | 2024:1.2.2 | 2025:1.2.2;2020:Estudiantes de posgrado | 2021:Estudiantes de posgrado | 2022:Estudiantes de posgrado | 2023:Estudiantes de posgrado | 2024:Estudiantes de posgrado | 2025:Estudiantes de posgrado
NESTITPROP;1.2.3;Estudiantes de títulos propios y otros;1;Personas usuarias;1.2;Estudiantes;2020;2025;No;No;2020:1.2.3 | 2021:1.2.3 | 2022:1.2.3 | 2023:1.2.3 | 2024:1.2.3 | 2025:1.2.3;2020:Estudiantes de títulos propios y otros | 2021:Estudiantes de títulos propios y otros | 2022:Estudiantes de títulos propios y otros | 2023:Estudiantes de títulos propios y otros | 2024:Estudiantes de títulos propios y otros | 2025:Estudiantes de títulos propios y otros
NDOCENTES;1.3;Docentes;1;Personas usuarias;1.3;Docentes;2020;2025;No;No;2020:1.3 | 2021:1.3 | 2022:1.3 | 2023:1.3 | 2024:1.3 | 2025:1.3;2020:Docentes | 2021:Docentes | 2022:Docentes | 2023:Docentes | 2024:Docentes | 2025:Docentes
NPDICOMPLETA;1.3.1;Docentes con dedicación completa;1;Personas usuarias;1.3;Docentes;2020;2025;No;No;2020:1.3.1 | 2021:1.3.1 | 2022:1.3.1 | 2023:1.3.1 | 2024:1.3.1 | 2025:1.3.1;2020:Docentes con dedicación completa | 2021:Docentes con dedicación completa | 2022:Docentes con dedicación completa | 2023:Docentes con dedicación completa | 2024:Docentes con dedicación completa | 2025:Docentes con dedicación completa
NPDIPARCIAL;1.3.2;Docentes con dedicación parcial;1;Personas usuarias;1.3;Docentes;2020;2025;No;No;2020:1.3.2 | 2021:1.3.2 | 2022:1.3.2 | 2023:1.3.2 | 2024:1.3.2 | 2025:1.3.2;2020:Docentes con dedicación parcial | 2021:Docentes con dedicación parcial | 2022:Docentes con dedicación parcial | 2023:Docentes con dedicación parcial | 2024:Docentes con dedicación parcial | 2025:Docentes con dedicación parcial
NPASUNIV;1.4;Personal Técnico de Gestión y de Administración y Servicios;1;Personas usuarias;1.4;Personal Técnico, de Gestión y de Administración y Servicios;2020;2025;No;Sí;2020:1.4 | 2021:1.4 | 2022:1.4 | 2023:1.4 | 2024:1.4 | 2025:1.4;2020:Personal de Administración y Servicios | 2021:Personal de Administración y Servicios | 2022:Personal de Administración y Servicios | 2023:Personal Técnico de Gestión y de Administración y Servicios | 2024:Personal Técnico de Gestión y de Administración y Servicios | 2025:Personal Técnico de Gestión y de Administración y Servicios
NUSUARIOEXT;1.5;Personas usuarias externas registradas;1;Personas usuarias;1.5;Personas usuarias externas registradas;2020;2025;No;Sí;2020:1.5 | 2021:1.5 | 2022:1.5 | 2023:1.5 | 2024:1.5 | 2025:1.5;2020:Usuarios externos registrados | 2021:Usuarios externos registrados | 2022:Usuarios externos registrados | 2023:Personas usuarias externas registradas | 2024:Personas usuarias externas registradas | 2025:Personas usuarias externas registradas
NUSUCONSORC;1.6;Personas usuarias consorciadas;1;Personas usuarias;1.6;Personas usuarias consorciadas;2020;2025;No;Sí;2020:1.6 | 2021:1.6 | 2022:1.6 | 2023:1.6 | 2024:1.6 | 2025:1.6;2020:Usuarios Consorciados | 2021:Usuarios Consorciados | 2022:Usuarios Consorciados | 2023:Personas usuarias consorciadas | 2024:Personas usuarias consorciadas | 2025:Personas usuarias consorciadas
NPEI;1.7;Personal Empleado Investigador;1;Personas usuarias;1.7;Personal Empleado Investigador;2022;2025;No;No;2022:1.7 | 2023:1.7 | 2024:1.7 | 2025:1.7;2022:Personal Empleado Investigador | 2023:Personal Empleado Investigador | 2024:Personal Empleado Investigador | 2025:Personal Empleado Investigador
NPLANTILLATOTAL;2.1;Plantilla total (a jornada completa);2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2020;2025;No;No;2020:2.1 | 2021:2.1 | 2022:2.1 | 2023:2.1 | 2024:2.1 | 2025:2.1;2020:Plantilla total (a jornada completa) | 2021:Plantilla total (a jornada completa) | 2022:Plantilla total (a jornada completa) | 2023:Plantilla total (a jornada completa) | 2024:Plantilla total (a jornada completa) | 2025:Plantilla total (a jornada completa)
NBIBPROFESIONAL;2.1.1;Personal bibliotecario;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2020;2025;No;Sí;2020:2.1.1 | 2021:2.1.1 | 2022:2.1.1 | 2023:2.1.1 | 2024:2.1.1 | 2025:2.1.1;2020:Bibliotecarios | 2021:Bibliotecarios | 2022:Bibliotecarios | 2023:Personal bibliotecario | 2024:Personal bibliotecario | 2025:Personal bibliotecario
NBIBPROFESIONALF;2.1.1.1;Personal bibliotecario femenino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.1.1 | 2024:2.1.1.1 | 2025:2.1.1.1;2023:Personal bibliotecario femenino | 2024:Personal bibliotecario femenino | 2025:Personal bibliotecario femenino
NBIBPROFESIONALM;2.1.1.2;Personal bibliotecario masculino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.1.2 | 2024:2.1.1.2 | 2025:2.1.1.2;2023:Personal bibliotecario masculino | 2024:Personal bibliotecario masculino | 2025:Personal bibliotecario masculino
NAUXIBIB;2.1.2;Personal auxiliar de biblioteca;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2020;2025;No;Sí;2020:2.1.2 | 2021:2.1.2 | 2022:2.1.2 | 2023:2.1.2 | 2024:2.1.2 | 2025:2.1.2;2020:Auxiliares de biblioteca | 2021:Auxiliares de biblioteca | 2022:Auxiliares de biblioteca | 2023:Personal auxiliar de biblioteca | 2024:Personal auxiliar de biblioteca | 2025:Personal auxiliar de biblioteca
NAUXBIBF;2.1.2.1;Personal auxiliar de biblioteca femenino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.2.1 | 2024:2.1.2.1 | 2025:2.1.2.1;2023:Personal auxiliar de biblioteca femenino | 2024:Personal auxiliar de biblioteca femenino | 2025:Personal auxiliar de biblioteca femenino
NAUXBIBM;2.1.2.2;Personal auxiliar de biblioteca masculino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.2.2 | 2024:2.1.2.2 | 2025:2.1.2.2;2023:Personal auxiliar de biblioteca masculino | 2024:Personal auxiliar de biblioteca masculino | 2025:Personal auxiliar de biblioteca masculino
